Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Response Date,Month of Response Date,predicted_level1,TextBlob_Sentiment,TextBlob_NaiveBayes_Sentiment,NLTK_Vader_Sentiment,Sentiment_Label_TB,Sentiment_Label_TB_NB,Sentiment_Label_VADER,True_Label,Predicted_Label_NB
376853137,HP ENVY 6458e All-in-One Printer,US,4,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6458e All-in-One Printer,I waste paper and ink trying to get it to print properly - dark enough.,IPH,15,03-04-24 13:00,01-04-24 0:00,Others,-0.116666667,neg,-0.4215,Negative,Negative,Negative,Neutral,Positive
378323791,ENVY Inspire 7200e All-in-One Printer series,PT,1,HPS Surveys,Portuguese (Brazil),,,Supplies - Ink,Centaur,Novelli Yeti,HP ENVY Inspire 7224e All-in-One Printer,"The first printer I bought from this brand started to stop printing and burned out the ink cartridges, now I have another one because it was replaced and I'm shocked because I can't connect the printer to my computer so it won't print.",IPH,43,10-04-24 8:03,01-04-24 0:00,Cartridge Problem,-0.225,pos,-0.5423,Negative,Positive,Negative,Negative,Negative
380942055,HP OfficeJet Pro 8028e All-in-One Printer,US,1,HPS Surveys,English,,,Supplies - Ink,Cedella ,Malbec Yeti,HP OfficeJet Pro 8028e All-in-One Printer,"I like the printer, but I hate your ink program. You lock me in, then waste the ink when I want to get out of the program.",IIC,27,16-04-24 8:20,01-04-24 0:00,Instant Ink related,-0.5,neg,-0.8201,Negative,Negative,Negative,Negative,Negative
380953106,HP ENVY 6455e All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6455e All-in-One Printer,Lost internet and cannot get it reconnected. I also used the ink cartridges that were sent to me by HP and have gotten error messages no matter what I try. Zero stars.,IPH,32,19-04-24 12:59,01-04-24 0:00,Instant Ink related,0,pos,-0.7269,Neutral,Positive,Negative,Negative,Negative
383555187,HP 67XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,Staples,5,Supplies - Ink,Obelisk,,HP 67XL High Yield Black Original Ink Cartridge,THE RIGHT CARTRIDGE FOR MY 2755 HP DESKJET PRINTER,IPH,9,18-04-24 8:00,01-04-24 0:00,Others,0.285714286,pos,0,Positive,Positive,Neutral,Positive,Positive
381653330,DeskJet 4100 All-in-One Printer series,US,1,HPS Surveys,German,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 4110e All-in-One Printer,Registering is extremely complicated. Ordering new cartridges is impossible.,IPH,9,17-04-24 13:54,01-04-24 0:00,Others,-0.343434343,neg,0,Negative,Negative,Neutral,Negative,Negative
379454993,HP ENVY 6052e All-in-One Printer,US,4,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6052e All-in-One Printer,"The printer itself is good, but you are required to use the HP Instant Ink which I did for awhile but the ink is not sent in enough time to keep the printer with ink to print and the printing of pages that is recorded is not something that HP needs to know.  When I cancelled my subscription, the printer refuses to print and I have to reset it sometimes 3 times a day when I am using HP ink cartridges.  It is like you have programmed the device to print only with a subscription model and when the subscription is cancelled, the program kicks in errors so the printer will not work.  I had to trash my original Envy 6052 due to this issue but the 2nd one does the exact same thing which tells me it is the way it is programmed so it forces the owner to use your subscription services.  So no, I will not recommend something that is a pain to use and a pain to maintain.",IPH,172,16-04-24 6:18,01-04-24 0:00,"Instant Ink related, Printer Hardware/Printing issues",0.133333333,pos,-0.9546,Positive,Positive,Negative,Neutral,Neutral
381811418,HP OfficeJet Pro 9015e All-in-One Printer,US,8,HPS Surveys,English,,,Supplies - Ink,Magnus,Manhattan Yeti,HP OfficeJet Pro 9015e All-in-One Printer,"From a performance perspective, this printer earns a ""9-10"" rating in my view.  I rated it an ""8"" because of the absurdly high cost for ink cartridges.  I wouldn't be surprised if your profit margin approaches 80%.  That's insane.",IIC,39,18-04-24 7:25,01-04-24 0:00,Cost,-0.246666667,pos,-0.1195,Negative,Positive,Negative,Positive,Positive
376546036,HP DeskJet 2710e All-in-One Printer,GB,4,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2710e All-in-One Printer,Print quality isn’t great. Although I like the ink subscription service it could catch you out if you suddenly need a lot of prints. You definitely should have a backup set of inks at least.,IPH,35,01-04-24 22:55,01-04-24 0:00,"Instant Ink related, Print quality",0.125,neg,0.8519,Positive,Negative,Positive,Neutral,Positive
375709495,HP DeskJet 2755e All-in-One Printer,US,3,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2755e All-in-One Printer,"This printer is subscribed to the HP ink program, so there are always verified HP ink cartridges in the printer. Every time I use the printer, I have to run 3-5 test pages to get the black ink to print correctly, often running 3 or 4 cycles of the Clean Printhead Tool prior to viewing the printed test pages. The black ink is consistently fuzzy or blurred on the right / left edges of print until many test pages have been printed/print heads cleaned. I should not have to do this every time before I print. I have contacted HP about this previously, with no return contact or further inquiry. Now the printer is beyond warranty. First contacts were while this machine was still in warranty. Not impressed with this printer or with HP customer service.",IPH,136,01-04-24 13:14,01-04-24 0:00,"Print quality, Customer experience & expectation, Printer Hardware/Printing issues",0.054365079,pos,-0.2626,Positive,Positive,Negative,Negative,Negative
380120066,HP DeskJet 2742e All-in-One Printer,US,3,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2742e All-in-One Printer,The printer would not print colored selections in black and white. Also when text selections were made it would only print in full paper size.,IPH,25,12-04-24 4:28,01-04-24 0:00,"Print quality, Cartridge Problem",0.045833333,neg,0,Positive,Negative,Neutral,Negative,Negative
375694825,HP OfficeJet Pro 9015 All-in-One Printer,CA,10,HPS Surveys,English,,,Supplies - Ink,Magnus,Manhattan,HP OfficeJet Pro 9015 All-in-One Printer,It has been a very good printer.  The ink is expensive but of good quality,IIC,15,01-04-24 15:19,01-04-24 0:00,"General satisfied, Cost, Print quality",0.37,pos,0.7496,Positive,Positive,Positive,Positive,Positive
380918294,HP OfficeJet Pro 6978 All-in-One Printer,US,1,HPS Surveys,English,,,Supplies - Ink,Makeda,Muscatel,HP OfficeJet Pro 6978 All-in-One Printer,I have been trying to sign up for instant ink multiple times and I keep getting an error that you are unable to connect to instant ink. It is hooked up through my wifi and I have no issues printing. I have a HP6978 Serial No. TH08K4N2S1,IIC,47,19-04-24 12:40,01-04-24 0:00,Instant Ink related,-0.125,pos,-0.7269,Negative,Positive,Negative,Negative,Negative
382404352,HP ENVY 6032e All-in-One Printer,FR,7,HPS Surveys,French,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6032e All-in-One Printer,"Correct performance but too frequent disconnections, making use unreliable.
 HP ink subscription works well.",IPH,14,20-04-24 7:29,01-04-24 0:00,"Instant Ink related, General satisfied",0.1,pos,0.3919,Positive,Positive,Positive,Positive,Positive
377543319,HP Smart Tank 6001 All-in-One,CA,8,HPS Surveys,English,,,Supplies - Ink,Sayan,Sayan,HP Smart Tank 6001e All-in-One,"Set up was easy, print quality seems good.  Have had only for a few days so time will tell on how long ink lasts.",CISS,24,06-04-24 4:40,01-04-24 0:00,"Instant Ink related, Print quality, General satisfied",0.176666667,pos,0.7003,Positive,Positive,Positive,Positive,Positive
377612530,HP DeskJet 2755e All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2755e All-in-One Printer,I did not like the “free” ink program or worrying about how many pages I had printed,IPH,17,05-04-24 5:50,01-04-24 0:00,Instant Ink related,0.45,neg,-0.5439,Positive,Negative,Negative,Negative,Positive
388518869,HP 305 Black Original Ink Cartridge,ES,2,Web Reviews,Spanish,Amazon ES,1,Supplies - Ink,Obelisk,,HP 305 Black Original Ink Cartridge,"Acabo de recibirlo y no tiene tinta ,estoy muy cabreada, porque necesito unos papeles urgentes y no tiene tinta ,fatal dinero tirado",IPH,22,19-04-24 1:00,01-04-24 0:00,Others,0,neg,-0.7845,Neutral,Negative,Negative,Negative,Negative
382983105,HP ENVY Inspire 7220e All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Centaur,Novelli Yeti,HP ENVY Inspire 7220e All-in-One Printer,"I wanted a printer, not an ink service.  Not an ongoing relationship.  Just a printer.",IPH,15,23-04-24 3:40,01-04-24 0:00,Others,0,pos,0,Neutral,Positive,Neutral,Negative,Positive
377544571,HP DeskJet Ink Advantage 2774 All-in-One Printer,BR,5,HPS Surveys,Portuguese (Brazil),,,Supplies - Ink,Obelisk,Taccola,HP DeskJet Ink Advantage 2779 All-in-One Printer,"- Expensive ink cartridge;
 - There are very few sheets of paper in the paper compartment for printing, I think about 5;
 - Setting up scanning via Wi-Fi is a bit time-consuming, as it depends on the internet signal. It takes time to open the HP website, you have to open an account, the signal is weak at the printer and then the printer doesn't work;
 - Configuration via USB is a little faster, but to print you still have to access the application and the application could have fewer steps.
 - Scanning could be simple, via Windows.",IPH,98,06-04-24 6:28,01-04-24 0:00,"Printer Hardware/Printing issues, Cost",-0.188928571,pos,-0.2382,Negative,Positive,Negative,Neutral,Neutral
378141593,HP ENVY 6055e All-in-One Printer,US,8,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6055e All-in-One Printer,"I perfer that some information like the amount of ink is easy to find on the printer-not going to an app,",IPH,21,07-04-24 10:37,01-04-24 0:00,Instant Ink related,0.433333333,pos,0.6597,Positive,Positive,Positive,Positive,Positive
376484005,ENVY 6400 All-in-One Printer series,ES,4,HPS Surveys,Spanish (Mexico),,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6432e All-in-One Printer,It is very complicated to understand how to start it. The explanations are clear. The fact of having to look for a PIN on an ink cartridge seems absurd to me.,IPH,31,04-04-24 16:08,01-04-24 0:00,Others,-0.35,pos,0.3818,Negative,Positive,Positive,Neutral,Positive
378140358,HP Smart Tank 5000/5100 All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Pluto Plus,Lebi,HP Smart Tank 5000/5100 All-in-One Printer,"There is no normal indicator like head cleaning, tools, maintenance, etc Also when it prints the color are not vibrant and seem faded a bit.",CISS,25,06-04-24 19:20,01-04-24 0:00,Print quality,-0.079166667,pos,-0.3561,Negative,Positive,Negative,Negative,Neutral
376551834,HP Smart Tank 6001 All-in-One,CA,9,HPS Surveys,English,,,Supplies - Ink,Sayan,Sayan,HP Smart Tank 6001e All-in-One,It is user friendly and I like the idea of ink in a tank,CISS,14,02-04-24 18:16,01-04-24 0:00,"Customer experience & expectation, General satisfied",0.375,pos,0.6908,Positive,Positive,Positive,Positive,Positive
383573269,HP 67 Black Original Ink Cartridge,US,2,Web Reviews,English,Amazon US,1,Supplies - Ink,Obelisk,,HP 67 Black Original Ink Cartridge,I’ve printed just a few pages and ink has done. It’s ridiculous! Don’t buy this cartridge !,IPH,17,16-04-24 1:00,01-04-24 0:00,Others,-0.360416667,neg,-0.4738,Negative,Negative,Negative,Negative,Negative
376234997,HP OfficeJet Pro 8028e All-in-One Printer,US,9,HPS Surveys,English,,,Supplies - Ink,Cedella ,Malbec Yeti,HP OfficeJet Pro 8028e All-in-One Printer,I love the printer but am confused about how it will automatically send me ink when I need it.,IIC,19,01-04-24 14:49,01-04-24 0:00,"Customer experience & expectation, Instant Ink related",0.05,pos,-0.09,Positive,Positive,Negative,Positive,Positive
375944329,HP OfficeJet Pro 9010 series,US,0,HPS Surveys,English,,,Supplies - Ink,Magnus,Manhattan Yeti,HP OfficeJet Pro 9015e All-in-One Printer,"Since the printer is requiring me to use HP cartridges, I will never again buy an HP printer. It costs $170 to replace a complete set of HP962XL cartridges from HP. I can buy generic for <$50. Even if it is true that the generic cartridges will cause my printer to fail, I save $120 with each set meaning all the printer needs to do is survive 3 sets of replacement cartridges and I can buy a new printer with the money saved. If HP cartridges were say, $75 for a complete XL set, the price difference would be narrow enough that I would pay the extra to extent the life of the printer. Trapping your customer into overpriced ink is NOT a way to earn customer loyalty.",IIC,128,02-04-24 14:11,01-04-24 0:00,Others,-0.001363636,pos,0.8126,Negative,Positive,Positive,Negative,Negative
376238237,HP DeskJet Ink Advantage 2677 All-in-One Printer,CN,10,HPS Surveys,Chinese (China),,,Supplies - Ink,Dolmen Refresh,Taiji,HP DeskJet Ink Advantage 2677 All-in-One Printer,I think the ink output problem can be improved. The color is always very light. The amount of color ink can be increased.,IPH,23,08-04-24 5:18,01-04-24 0:00,Others,0.52,pos,0.3612,Positive,Positive,Positive,Positive,Positive
380821627,HP OfficeJet Pro 8020 series,US,3,HPS Surveys,English,,,Supplies - Ink,Cedella ,Malbec Yeti,HP OfficeJet Pro 8025e All-in-One Printer,"The ink cartridges that came with this 
Printer were all very very low on ink in each cartridge.  This was a lot of money for me to have to deal with very low ink in each cartridge.  I have the printed sheets to verify!",IIC,44,16-04-24 7:28,01-04-24 0:00,Others,0,pos,-0.6843,Neutral,Positive,Negative,Negative,Negative
383978303,HP ENVY 6022e All-in-One Printer,GB,3,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6022e All-in-One Printer,The printer is very temperamental. It only uses hp ink which is expensive,IPH,13,25-04-24 0:15,01-04-24 0:00,Cost,-0.1,pos,0,Negative,Positive,Neutral,Negative,Positive
380807078,DeskJet 2700 All-in-One Printer series,PT,4,HPS Surveys,Portuguese (Brazil),,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2722e All-in-One Printer,Worten employees were unable to get the printer working due to the ink cartridge button always giving an error. It was never able to be printed. The printer was then declared out of order and I couldn't buy another one like it because it wasn't available anymore. This printer is currently in stock.,IPH,53,18-04-24 21:29,01-04-24 0:00,"Customer experience & expectation, Instant Ink related, Printer Hardware/Printing issues, Cartridge Problem",-0.095,pos,0.296,Negative,Positive,Positive,Neutral,Negative
380970165,HP OfficeJet Pro 9018e All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Magnus,Manhattan Yeti,HP OfficeJet Pro 9018e All-in-One Printer,"I purchased the HP OfficeJet Pro 9018e All-in-One Printer early in 2023. My past experience with HP products and the cost savings, attractive nature of the Instant Ink program seemed to fit my needs. However, from the start, my interface with HP was marred by miscommunications and misunderstandings. First, HP's system insisted that I had a current account attached to my email address, of which I had no record. When I tried to follow the HP instructions for resetting my password, The prompts would not send the reset to my email that HP's system insisted was active. Thus, I could not log in to set my operating parameters for the Instant Ink program. Attempting to gain support from the Instant Ink support number, I found myself communicating with individuals in the Far East whose native language was not English. They were unable to assist. I am in possession of ink cartridges that do not work because I'm not in the program any longer. I could not get information on how to return them. I had to seek advice from a Staples employee for what cartridges would actually work in the 9018. I can use the 9018, but it is not what I had hoped.",IIC,204,16-04-24 14:05,01-04-24 0:00,"Printer Hardware/Printing issues, Instant Ink related, Customer experience & expectation, Others",0.054761905,pos,0.6398,Positive,Positive,Positive,Negative,Negative
381224958,HP ENVY 6055e All-in-One Printer,US,0,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6055e All-in-One Printer,I hate that I have to have an ink subscription for the printer to work. I will never buy HP again.  I can’t return the printer because once I realized the subscription was necessary for the printer to work it was outside Best Buy’s return policy,IPH,46,17-04-24 3:49,01-04-24 0:00,Instant Ink related,0.05,pos,0.128,Positive,Positive,Positive,Negative,Negative
381213427,HP DeskJet 2752e All-in-One Printer,US,4,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2752e All-in-One Printer,"I did not like the monthly ink subscription process. I felt like I was being bashed over the head with pressure to subscribe. The costs were not clearly explained. 

Additionally, there seems to be some ""funny business"" with the subscription cartridges.  My initial replacement lasted a very long time and then the retail cartridges I have bought have not lasted nearly as long. Seems like a class action lawsuit waiting to happen.",IPH,72,21-04-24 13:24,01-04-24 0:00,Others,0.030833333,pos,-0.7775,Positive,Positive,Negative,Neutral,Neutral
386316685,HP 963XL High Yield Black Original Ink Cartridge,IT,10,Web Reviews,Italian,Amazon IT,5,Supplies - Ink,Magnus,,HP 963XL High Yield Black Original Ink Cartridge,"Confezione perfetta, consegna puntualissima, prezzo competitivo rispetto ai negozi.",IIC,9,08-04-24 1:00,01-04-24 0:00,Others,0,pos,0,Neutral,Positive,Neutral,Positive,Positive
380118531,HP OfficeJet Pro 6978 All-in-One Printer,US,10,HPS Surveys,English,,,Supplies - Ink,Makeda,Muscatel,HP OfficeJet Pro 6978 All-in-One Printer,"It is extremely reliable.  I know we are talking about the Office JetPro 6978, however, over the many years I have had several HP printers, and all have been very reliable.  One thing I have determined, as have many others, is that the printers themselves are reasonably priced, however, the company makes it's money on the toner and ink jet cartridges.",IIC,61,13-04-24 15:45,01-04-24 0:00,Others,0.2125,pos,0.34,Positive,Positive,Positive,Positive,Positive
380479289,ENVY 6000 All-in-One Printer series,GB,4,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6032e All-in-One Printer,Set up was not simple for a non tech like me. There is no obvious hard wire facility and thus printing takes a long time to start. I do not like the idea of my printing going off into the stratosphere where anybody can access it. I do not like the restriction to using only HP ink cartridges thus leaving me open to being ripped off by HP.,IPH,68,13-04-24 21:37,01-04-24 0:00,Others,-0.056944444,pos,0.6921,Negative,Positive,Positive,Neutral,Neutral
379318908,ENVY Inspire 7200e All-in-One Printer series,US,10,HPS Surveys,English,,,Supplies - Ink,Centaur,Novelli Yeti,HP ENVY Inspire 7220e All-in-One Printer,Great product love the ink program,IPH,6,10-04-24 16:37,01-04-24 0:00,"Instant Ink related, General satisfied",0.65,pos,0.8519,Positive,Positive,Positive,Positive,Positive
377183222,HP Smart Tank 6001 All-in-One,US,9,HPS Surveys,English,,,Supplies - Ink,Sayan,Sayan,HP Smart Tank 6001e All-in-One,The ink is the main reason. Don't have to get ink cartridges everyone couple of months. The setup with the hp smart makes everything easier.,CISS,25,09-04-24 9:22,01-04-24 0:00,Instant Ink related,0.19047619,pos,0.6705,Positive,Positive,Positive,Positive,Positive
381645955,ENVY 6000 All-in-One Printer series,US,8,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6055e All-in-One Printer,"The HP 600 printer installation was very quick and simple, having the app to print remote is super helpful. The ink replacement program is very convenient, affordable and the auto replenish makes it all seamless and extremely easy to never have to worry about running out of ink",IPH,48,17-04-24 12:37,01-04-24 0:00,"Instant Ink related, Customer experience & expectation",0.2,pos,0.9062,Positive,Positive,Positive,Positive,Positive
377115249,ENVY 6000 All-in-One Printer series,GB,10,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6032e All-in-One Printer,"Efficient and compact equipment which suits my needs.  Love the ability for double sided printing and the flat top for copying of books, etc.  The set up for ink delivery is excellent.  And very reasonably priced especially with six months of ink.  What is not to like?",IPH,47,03-04-24 14:36,01-04-24 0:00,Others,0.319285714,pos,0.9134,Positive,Positive,Positive,Positive,Positive
382603684,HP OfficeJet Pro 9120e Series,NZ,3,HPS Surveys,English,,,Supplies - Ink,Nocturne,Marconi Yeti,HP OfficeJet Pro 9120e All-in-One Printer,Continual freezing at time of payment setup for ink cartridge payment. In the end I gave up and will just bite the bullet on purchasing ink cartridges from a retailer,IIC,30,25-04-24 18:16,01-04-24 0:00,Others,0,pos,-0.1027,Neutral,Positive,Negative,Negative,Negative
379530884,HP ENVY Inspire 7220e All-in-One Printer,AU,8,HPS Surveys,English,,,Supplies - Ink,Centaur,Novelli Yeti,HP ENVY Inspire 7220e All-in-One Printer,The ink doesn't last very long,IPH,6,15-04-24 15:09,01-04-24 0:00,Customer experience & expectation,-0.0325,pos,0,Negative,Positive,Neutral,Positive,Positive
383675248,HP OfficeJet Pro 8020 series,US,6,HPS Surveys,English,,,Supplies - Ink,Cedella ,Malbec Yeti,HP OfficeJet Pro 8025e All-in-One Printer,"I like the printer overall, BUT explanation of programs within the printer is very sparsely explained. Therefore to set everything up, and operating each program makes it hard to use. 
     AND the use of instant ink is VERY difficult yo set up once ink is received. I received my first order of instant ink, and could not get the laptop and printer to acknowledge the ink. IT TOOK 4 DAYS on the phone with your tech support, and virtual assistant, and all was very stressful as they could not get it set up, and some was unaware of how it worked. I was told I must have purchased ink from somewhere other than HP.   Another problem is understanding the language dialogue of the foreigner. 
   I finally was able to get it set and working by myself after much research , your ""HELP"" service on the site is also very vague. I almost got rid of my HP printer and went to buy another brand",IIC,164,29-04-24 6:33,01-04-24 0:00,"Instant Ink related, Customer experience & expectation, Others, Printer Hardware/Printing issues, Logistic Handling",-0.026190476,pos,-0.9296,Negative,Positive,Negative,Neutral,Neutral
383564860,HP 364 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,DE,10,Web Reviews,German,Amazon DE,5,Supplies - Ink,Rohan,,HP 364 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,gute Bildqualität,IIC,2,14-04-24 1:00,01-04-24 0:00,Others,0,pos,0,Neutral,Positive,Neutral,Positive,Positive
378609756,HP DeskJet 2755e All-in-One Printer,US,8,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2755e All-in-One Printer,I've never had a problem with it and I like that paper and ink are automatically sent,IPH,17,08-04-24 9:40,01-04-24 0:00,Logistic Handling,0,pos,0.5801,Neutral,Positive,Positive,Positive,Positive
380120678,HP DeskJet Plus Ink Advantage 6475 All-in-One Printer,MX,8,HPS Surveys,Spanish (Mexico),,,Supplies - Ink,Obelisk,Vasari,HP DeskJet Plus Ink Advantage 6475 All-in-One Printer,After a while yes. Use stops printing well sometimes even with the maintenance to clean the heads it doesn't look good and I end up buying another cartridge and the cost is not low,IPH,34,12-04-24 5:50,01-04-24 0:00,Others,0.355555556,pos,0.6495,Positive,Positive,Positive,Positive,Positive
375944743,DeskJet 4100 All-in-One Printer series,US,8,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 4155e All-in-One Printer,First batch of ink is arriving SLOWLY. I upgraded my printer because I needed to print my tax documents. Included ink only printed about 100 pages. Now I am without ink for more nearly two weeks waiting for my first Instant Ink shipment. Not a good first impression.,IPH,48,04-04-24 6:06,01-04-24 0:00,Customer experience & expectation,0.077777778,pos,-0.4717,Positive,Positive,Negative,Positive,Positive
380314933,HP DeskJet 2720e All-in-One Printer,GB,0,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2720e All-in-One Printer,The ink cartridge lasted way too little. This is unacceptable,IPH,10,17-04-24 7:08,01-04-24 0:00,Others,-0.1875,neg,-0.4091,Negative,Negative,Negative,Negative,Positive
384207366,HP 304 Black Original Ink Cartridge,IT,10,Web Reviews,Italian,Amazon IT,5,Supplies - Ink,Dolmen Refresh,,HP 304 Black Original Ink Cartridge,Ottimo prezzo e facile da montare,IPH,6,19-04-24 1:00,01-04-24 0:00,Others,0,neg,0,Neutral,Negative,Neutral,Positive,Positive
